id,company_name,country,city,address,phone_num
1,Feedfish,Pakistan,Mātli,1781 Coolidge Road,430-954-2109
2,Buzzdog,China,Xinxi,802 Kipling Park,402-591-0253
3,Trunyx,Philippines,Bulihan,87 Milwaukee Circle,973-165-8536
4,Kazu,China,Wangcun,57843 Sullivan Street,592-765-2100
5,Ntags,Thailand,Borabue,49 Mayfield Way,668-974-9421
6,Topiczoom,Latvia,Nereta,1285 Sachtjen Pass,816-347-6258
7,Rhynyx,Malta,Vittoriosa,2 Green Park,795-853-2167
8,Tagtune,France,Cergy-Pontoise,3 Anzinger Circle,472-859-2101
9,Jabbertype,Mongolia,Öndörhoshuu,2 Old Shore Drive,994-526-1851
10,Dabvine,Brazil,Campos Gerais,54 Redwing Parkway,689-213-7965
11,Browseblab,Indonesia,Tinabogan,1 Messerschmidt Hill,884-571-5716
12,Quatz,Norway,Mosjøen,44 Granby Way,950-678-9133
13,Aimbu,Japan,Kasamatsuchō,6425 Harper Crossing,280-641-8980
14,Edgeify,Ghana,Wenchi,04878 Cody Junction,713-788-5444
15,Podcat,Brazil,Jales,099 Fulton Park,922-519-1463
16,Voomm,Niger,Tessaoua,35984 David Crossing,911-994-9739
17,Flipbug,Jordan,Wādī as Sīr,242 Westport Parkway,158-242-8042
18,Skimia,China,Wenping,9 Bluestem Street,697-737-3493
19,Meezzy,China,Sucun,4061 Bowman Place,266-270-8490
20,Eayo,Japan,Takikawa,4 Morning Terrace,231-938-4681
21,Feedfish,China,Jiacun,1 Nova Center,670-273-1386
22,Dynazzy,China,Haizigou,122 Packers Pass,970-714-8372
23,Livefish,Philippines,Laylay,70879 Jenifer Plaza,716-104-6366
24,Tavu,Poland,Stronie,5 Debra Plaza,753-937-8146
25,Innojam,China,Dawan,732 Mosinee Trail,498-500-8108
26,Agivu,Ukraine,Zbarazh,3871 Bunker Hill Circle,139-411-7120
27,Topicware,Spain,Teruel,6952 Buena Vista Crossing,286-341-8027
28,Meejo,France,Val-de-Reuil,128 Scoville Terrace,605-797-5921
29,Photobug,China,Marzhing,1 Melvin Point,733-562-0604
30,Riffpath,China,Longhua,1991 Moose Pass,132-417-9113
